time_sec,theta_kalman,theta_dot_kalman,x_pivot_m
3.822484,0.15949352209126705,0.009189869591745198,0.071456
3.847488,0.1700516651147253,0.0048155772467256275,0.071456
3.872491,0.1751922469763902,0.0003152089809017322,0.071456
3.897492,0.17570572057966236,-0.004197857134082855,0.071456
3.922498,0.17154014031296114,-0.008608946341276125,0.071456
3.947506,0.1625218796887083,-0.012798958650372644,0.071456
3.972513,0.1502395121312525,-0.01668855412382028,0.071456
3.997521,0.13400308938106825,-0.02018087417394293,0.071456
4.022528,0.1149549942147137,-0.023207502333228047,0.071456
4.047535,0.09092306773700151,-0.025645171172736292,0.071456
4.072542,0.06275976823377435,-0.02739165255232373,0.071456
4.09755,0.033522159310942594,-0.028421065257116213,0.071456
4.122557,0.003873472418600518,-0.02872373381497855,0.071456
4.147561,-0.03331955287926083,-0.028110361249944156,0.071456
4.172569,-0.08250771056366743,-0.026279284025175015,0.071456
4.197572,-0.13976288969144654,-0.023026731102250786,0.071456
4.222579,-0.13281503518711438,-0.019963210693480907,0.071456
4.247583,-0.1404658027998875,-0.016720122870552814,0.071456
4.272586,-0.1504193064932208,-0.013237584922472345,0.071456
4.29759,-0.16600571529911917,-0.009371920655710575,0.071456
4.322591,-0.17877331052292814,-0.005191490378115504,0.071456
4.347594,-0.17852465717224852,-0.0010205804310074174,0.071456
4.372598,-0.1771283413493283,0.003114615025293116,0.071456
4.397602,-0.17361698977361723,0.007163582200467644,0.071456
4.422609,-0.17048670098638927,0.011138446344276215,0.071456
4.447616,-0.16592437085915993,0.015005747000388814,0.071456
4.472616,-0.15729017433971432,0.018665652503249114,0.071456
4.49762,-0.14779978095882843,0.02209896694613739,0.071456
4.522627,-0.1386721168393456,0.025316966723787138,0.071456
4.547631,-0.10565916656211341,0.02772176539778845,0.071456
4.572638,-0.07536454854452437,0.029383155201996525,0.071456
4.597642,-0.04611276421486789,0.030328376617598227,0.071456
4.622649,-0.016920945022937603,0.030559532048744106,0.071456
4.647653,0.009888036274377753,0.03013661603544842,0.071456
4.672656,0.0349074509768577,0.029104309561103613,0.071456
4.697657,0.0587531718892128,0.02749144056682214,0.071456
4.722664,0.0811460793430239,0.025333481279411756,0.071456
4.747672,0.10190630225617112,0.022670077804575695,0.071456
4.772678,0.11622929934068844,0.019661230995437637,0.071456
4.797682,0.12868694059633448,0.016351894086947677,0.071456
4.822689,0.13914948436640648,0.012790089417784117,0.071456
4.847697,0.14464973279355578,0.009098205895306355,0.071456
4.872704,0.14583303368995415,0.005382341443435412,0.071456
4.897707,0.1433899772482084,0.0017312336002299755,0.071456
4.922715,0.13821760475613148,-0.0017888698463482955,0.071456
4.947719,0.12893719595211844,-0.005077009739750282,0.071456
4.972726,0.1153946089502885,-0.008028209075403608,0.071456
4.997726,0.10067988452647106,-0.010614889521314369,0.071456
5.022733,0.08537512068718447,-0.012823863097584931,0.071456
5.047741,0.06742588811808037,-0.014590103330939491,0.071456
5.072748,0.047881391936675906,-0.01587465688819492,0.071456
5.097755,0.02794834149624112,-0.016668574969194425,0.071456
5.122763,0.008034799498690577,-0.016972848396115674,0.071456
5.147766,-0.017894181904106708,-0.016636581905873304,0.071456
5.172774,-0.04048498426066144,-0.01574340697879014,0.071456
5.197777,-0.06088495488627469,-0.014347786343442533,0.071456
5.222786,-0.08028905020373818,-0.01247385255651106,0.071456
5.24779,-0.09417127689823904,-0.01025911386752204,0.071456
