xAccl,yAccl,zAccl,newPosition,time,pcTime
-317,-10,997,0,16072810,16167.336225509644
-317,-10,997,0,16097811,16192.334175109863
-317,-10,997,0,16122817,16217.275142669678
-317,-10,997,0,16147822,16242.281198501587
-317,-10,997,0,16172823,16267.385244369507
-317,-10,997,0,16197829,16292.427062988281
-317,-10,997,0,16222836,16317.341327667236
-317,-10,997,0,16247844,16342.438220977783
-317,-10,997,0,16272851,16367.210149765015
-317,-10,997,0,16297858,16392.35019683838
-317,-10,997,0,16322863,16417.417287826538
-317,-10,997,0,16347870,16442.365169525146
-317,-10,997,0,16372877,16467.3330783844
-317,-10,997,0,16397884,16492.34914779663
-317,-10,997,0,16422892,16517.3020362854
-317,-10,997,0,16447899,16542.376279830933
-317,-10,997,0,16472899,16567.387104034424
-317,-10,997,0,16497903,16592.555046081543
-317,-10,997,0,16522912,16617.1932220459
-317,-10,997,0,16547917,16642.26198196411
-317,-10,997,0,16572924,16667.331218719482
-317,-10,997,0,16597929,16692.370176315308
-317,-10,997,0,16622933,16717.321157455444
-317,-10,997,0,16647939,16742.318153381348
-317,-10,997,0,16672947,16767.322063446045
-317,-10,997,0,16697951,16792.45901107788
-317,-10,997,0,16722958,16817.394256591797
-317,-10,997,0,16747962,16842.432022094727
-317,-10,997,0,16772969,16867.375135421753
-317,-10,997,0,16797976,16892.50421524048
-317,-10,997,0,16822983,16917.43016242981
-317,-10,997,0,16847987,16942.427158355713
-317,-10,997,0,16872999,16967.33808517456
-317,-10,997,0,16898000,16992.470026016235
-317,-10,997,0,16923003,17017.361164093018
-317,-10,997,0,16948006,17042.417287826538
-317,-10,997,0,16973010,17067.30604171753
-317,-10,997,0,16998017,17092.557191848755
-317,-10,997,0,17023021,17117.353200912476
-317,-10,997,0,17048025,17142.449140548706
-317,-10,997,0,17073030,17167.221069335938
-317,-10,997,0,17098030,17192.481994628906
-317,-10,997,0,17123035,17217.392206192017
-317,-10,997,0,17148037,17242.361068725586
-317,-10,997,0,17173043,17267.36831665039
-317,-10,997,0,17198042,17292.38724708557
-317,-10,997,0,17223048,17317.312002182007
-317,-10,997,0,17248051,17342.37313270569
-317,-10,997,0,17273059,17367.382049560547
