time,theta,x_pivot,time_seconds,filtered_theta
2108,-418,0.0,2.108,-437.5121133170134
2119,-524,0.0,2.119,-490.9645669022485
2126,-524,0.0,2.126,-511.38158738973215
2135,-524,0.0,2.135,-519.180195266948
2143,56,0.0,2.143,-163.69928493617277
2151,56,0.0,2.151,-27.91765954157023
2158,56,0.0,2.158,23.946306311462088
2167,56,0.0,2.167,43.7565784759565
2176,317,0.0,2.176,212.63030018012995
2184,317,0.0,2.184,277.13432206443343
2191,317,0.0,2.191,301.7726660131703
2201,402,0.0,2.201,363.7165650188185
2209,402,0.0,2.209,387.37702904328535
2217,402,0.0,2.217,396.41452211103757
2226,680,0.0,2.226,571.6799861622981
2234,680,0.0,2.234,638.6254363758568
2241,680,0.0,2.241,664.1963229652723
2251,684,0.0,2.251,676.4356684749598
2258,684,0.0,2.258,681.110682459607
2265,684,0.0,2.265,682.8963789038611
2272,684,0.0,2.272,683.5784542519764
2281,65,0.0,2.281,301.2759448158831
2288,65,0.0,2.288,155.24938019567284
2295,65,0.0,2.295,99.4721957711354
2304,865,0.0,2.304,572.5943981176492
2311,865,0.0,2.311,753.3109985818122
2319,865,0.0,2.319,822.3385976277875
2327,1012,0.0,2.327,939.5557906477848
2335,1012,0.0,2.335,984.3287743155668
2343,1012,0.0,2.343,1001.4305322989155
2351,919,0.0,2.351,950.4856616274398
2359,919,0.0,2.359,931.0264525834036
2367,919,0.0,2.367,923.5936961227712
2374,919,0.0,2.374,920.75463578491
2384,1028,0.0,2.384,987.0359160056973
2391,1028,0.0,2.391,1012.353112232182
2400,1028,0.0,2.4,1022.0234206908485
2410,1060,0.0,2.41,1045.4942374803602
2417,1060,0.0,2.417,1054.4592917502318
2425,1060,0.0,2.425,1057.8836377703356
2435,1100,0.0,2.435,1083.9129811107705
2443,1100,0.0,2.443,1093.855305561976
2452,1100,0.0,2.452,1097.6529355751572
2461,1231,0.0,2.461,1180.065953689732
2469,1231,0.0,2.469,1211.5449254940388
2476,1231,0.0,2.476,1223.5688227923845
2485,1074,0.0,2.485,1131.1302066493809
2492,1074,0.0,2.492,1095.8217971557583
2500,1074,0.0,2.5,1082.3351848178938
2510,961,0.0,2.51,1007.3459165691852
2518,961,0.0,2.518,978.7025648896619
2525,961,0.0,2.525,967.7617780998003
2534,1021,0.0,2.534,1000.6648087347327
2542,1021,0.0,2.542,1013.2326481043979
2550,1021,0.0,2.55,1018.0331355784609
2558,1021,0.0,2.558,1019.8667586309849
