xAccl,yAccl,zAccl,encoder
-6,-15,1019,0,
-9,-15,1013,0,
-6,-20,1018,0,
-6,-16,1008,0,
-13,-19,1013,0,
-9,-14,1012,0,
-15,-18,1014,0,
-12,-16,1024,0,
-12,-15,1012,0,
-12,-14,1020,0,
-15,-16,1020,0,
-13,-18,1019,0,
-12,-19,1019,0,
-14,-15,1016,0,
-15,-14,1016,0,
-10,-16,1012,0,
-17,-15,1016,0,
-12,-17,1013,0,
-12,-16,1012,0,
-10,-12,1012,0,
-8,-11,1016,0,
-8,-13,1016,0,
-9,-13,1011,0,
-10,-16,1018,0,
-5,-16,1014,0,
-7,-11,1009,0,
-6,-15,1010,0,
-12,-15,1017,0,
-3,-14,1016,0,
-7,-14,1014,0,
-6,-17,1010,0,
-9,-12,1017,0,
-7,-15,1009,0,
-6,-15,1011,0,
-14,-16,1018,0,
-8,-17,1007,0,
-11,-16,1014,0,
-12,-12,1009,0,
-14,-16,1008,0,
-14,-18,1028,0,
-11,-13,1019,0,
-17,-11,1014,0,
-17,-16,1013,0,
-13,-13,1010,0,
-12,-20,1013,0,
-14,-16,1013,0,
-14,-14,1015,0,
-11,-16,1022,0,
-13,-15,1016,0,
-11,-22,1013,0,
-12,-16,1012,0,
-13,-13,1013,0,
-6,-15,1013,0,
-5,-17,1011,0,
-7,-18,1021,0,
-8,-14,1012,0,
-14,-13,1019,0,
-3,-15,1021,0,
-7,-15,1015,0,
-9,-12,1022,0,
-8,-16,1014,0,
-5,-17,1013,0,
-11,-16,1024,0,
-14,-10,1018,0,
-12,-10,1023,0,
-14,-15,1019,0,
-12,-17,1017,0,
-12,-15,1015,0,
-13,-14,1019,0,
-12,-12,1011,0,
-13,-14,1018,0,
-12,-18,1013,0,
-15,-20,1015,0,
-16,-18,1019,0,
-9,-14,1015,0,
-15,-14,1017,0,
-12,-13,1009,0,
-15,-13,1010,0,
-11,-16,1021,0,
-7,-12,1020,0,
-8,-16,1026,0,
-11,-13,1016,0,
-9,-14,1015,0,
-8,-15,1015,0,
-10,-12,1006,0,
-9,-18,1012,0,
-10,-8,1019,0,
-8,-14,1012,0,
-7,-10,1011,0,
-6,-15,1013,0,
-7,-18,1018,0,
-5,-19,1021,0,
-10,-14,1011,0,
-11,-14,1013,0,
-8,-14,1014,0,
-8,-14,1019,0,
-10,-14,1011,0,
-14,-16,1017,0,
-8,-10,1020,0,
-13,-10,1013,0,
-15,-14,1014,0,
-12,-15,1014,0,
-15,-14,1014,0,
-14,-15,1012,0,
-12,-17,1016,0,
-13,-15,1014,0,
-10,-16,1018,0,
-12,-16,1019,0,
-12,-16,1017,0,
-11,-16,1025,0,
-15,-12,1016,0,
-7,-12,1010,0,
-8,-14,1020,0,
-8,-17,1025,0,
-8,-17,1012,0,
-8,-16,1012,0,
-7,-17,1014,0,
-6,-16,1008,0,
-14,-15,1016,0,
-9,-17,1011,0,
-7,-16,1018,0,
-10,-19,1016,0,
-11,-17,1018,0,
-9,-14,1011,0,
-13,-14,1011,0,
-11,-17,1012,0,
-8,-15,1018,0,
-12,-14,1015,0,
-9,-13,1012,0,
-9,-18,1020,0,
-10,-15,1016,0,
-11,-15,1024,0,
-12,-4,988,0,
